Total ranking,Economics,Business,Arts and Humanitties,Modern linguistics,English Literatrue,Finance & Accounting,Sociology
1,1,1,1,1,2,1,1
2,4,4,2,6,3,4,2
3,2,2,3,2,1,2,3
4,6,7,8,10,5,6,NaN
5,3,3,4,5,6,3,4
6,5,5,5,4,8,5,5
7,9,8,9,7,7,NaN,6
8,8,9,NaN,NaN,NaN,NaN,NaN
9,7,6,7,8,NaN,7,7
10,10,NaN,6,3,4,NaN,NaN
11,NaN,11,NaN,11,NaN,NaN,NaN
